accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,n_groups,background_groups,drone_groups,false_alarm_count,false_alarm_rate,missed_drone_count,missed_drone_rate,detection_rate,coverage,permutation,seed
0.8181818181818182,0.5,0.4090909090909091,0.5,0.45,55,10,45,10,1.0,0,0.0,1.0,1.0,85,10126
0.6727272727272727,0.6833333333333333,0.6136363636363636,0.6833333333333333,0.6033653846153846,55,10,45,3,0.3,15,0.3333333333333333,0.6666666666666666,1.0,86,10127
0.8181818181818182,0.5,0.4090909090909091,0.5,0.45,55,10,45,10,1.0,0,0.0,1.0,1.0,87,10128
0.6181818181818182,0.5722222222222222,0.5455182072829131,0.5722222222222222,0.5283789301755819,55,10,45,5,0.5,16,0.35555555555555557,0.6444444444444445,1.0,88,10129
0.2545454545454545,0.5444444444444444,0.5980392156862745,0.5444444444444444,0.24556707929073268,55,10,45,0,0.0,41,0.9111111111111111,0.08888888888888889,1.0,89,10130
0.8181818181818182,0.5,0.4090909090909091,0.5,0.45,55,10,45,10,1.0,0,0.0,1.0,1.0,90,10131
0.8181818181818182,0.5,0.4090909090909091,0.5,0.45,55,10,45,10,1.0,0,0.0,1.0,1.0,91,10132
0.7818181818181819,0.5166666666666667,0.5367647058823529,0.5166666666666667,0.5089285714285714,55,10,45,9,0.9,3,0.06666666666666667,0.9333333333333333,1.0,92,10133
0.6909090909090909,0.5388888888888889,0.532051282051282,0.5388888888888889,0.5327336331834083,55,10,45,7,0.7,10,0.2222222222222222,0.7777777777777778,1.0,93,10134
0.5636363636363636,0.5777777777777777,0.5464190981432361,0.5777777777777777,0.5045045045045045,55,10,45,4,0.4,20,0.4444444444444444,0.5555555555555556,1.0,94,10135
0.7272727272727273,0.6777777777777778,0.6238390092879257,0.6777777777777778,0.6318607764390897,55,10,45,4,0.4,11,0.24444444444444444,0.7555555555555555,1.0,95,10136
0.45454545454545453,0.5888888888888889,0.5584795321637427,0.5888888888888889,0.43953804347826086,55,10,45,2,0.2,28,0.6222222222222222,0.37777777777777777,1.0,96,10137
0.23636363636363636,0.5333333333333333,0.5961538461538461,0.5333333333333333,0.22379032258064516,55,10,45,0,0.0,42,0.9333333333333333,0.06666666666666667,1.0,97,10138
0.4,0.5555555555555556,0.5400641025641025,0.5555555555555556,0.39277350284376045,55,10,45,2,0.2,31,0.6888888888888889,0.3111111111111111,1.0,98,10139
0.8181818181818182,0.5,0.4090909090909091,0.5,0.45,55,10,45,10,1.0,0,0.0,1.0,1.0,99,10140
0.8181818181818182,0.5777777777777778,0.6715686274509804,0.5777777777777778,0.5907738095238095,55,10,45,8,0.8,2,0.044444444444444446,0.9555555555555556,1.0,100,10141
